station1,station2,distance,line
浅草,田原町,0.8,銀座線
田原町,稲荷町,0.7,銀座線
稲荷町,上野,0.7,銀座線
上野,上野広小路,0.5,銀座線
上野広小路,末広町,0.6,銀座線
末広町,神田,1.1,銀座線
神田,三越前,0.7,銀座線
三越前,日本橋,0.6,銀座線
日本橋,京橋,0.7,銀座線
京橋,銀座,0.7,銀座線
銀座,新橋,0.9,銀座線
新橋,虎ノ門,0.8,銀座線
虎ノ門,溜池山王,0.6,銀座線
溜池山王,赤坂見附,0.9,銀座線
赤坂見附,青山一丁目,1.3,銀座線
青山一丁目,外苑前,0.7,銀座線
外苑前,表参道,0.7,銀座線
表参道,渋谷,1.3,銀座線
池袋,新大塚,1.8,丸ノ内線
新大塚,茗荷谷,1.2,丸ノ内線
茗荷谷,後楽園,1.8,丸ノ内線
後楽園,本郷三丁目,0.8,丸ノ内線
本郷三丁目,御茶ノ水,0.8,丸ノ内線
御茶ノ水,淡路町,0.8,丸ノ内線
淡路町,大手町,0.9,丸ノ内線
大手町,東京,0.6,丸ノ内線
東京,銀座,1.1,丸ノ内線
銀座,霞ケ関,1.0,丸ノ内線
霞ケ関,国会議事堂前,0.7,丸ノ内線
国会議事堂前,赤坂見附,0.9,丸ノ内線
赤坂見附,四ツ谷,1.3,丸ノ内線
四ツ谷,四谷三丁目,1.0,丸ノ内線
四谷三丁目,新宿御苑前,0.9,丸ノ内線
新宿御苑前,新宿三丁目,0.7,丸ノ内線
新宿三丁目,新宿,0.3,丸ノ内線
新宿,西新宿,0.8,丸ノ内線
西新宿,中野坂上,1.1,丸ノ内線
中野坂上,新中野,1.1,丸ノ内線
新中野,東高円寺,1.0,丸ノ内線
東高円寺,新高円寺,0.9,丸ノ内線
新高円寺,南阿佐ケ谷,1.2,丸ノ内線
南阿佐ケ谷,荻窪,1.5,丸ノ内線
中野坂上,中野新橋,1.3,丸ノ内線(分岐)
中野新橋,中野富士見町,0.6,丸ノ内線(分岐)
中野富士見町,方南町,1.3,丸ノ内線(分岐)
北千住,南千住,2.1,日比谷線
