station1,station1_kana,station2,station2_kana,distance,line
浅草,あさくさ,田原町,たわらまち,0.8,銀座線
田原町,たわらまち,稲荷町,いなりちょう,0.7,銀座線
稲荷町,いなりちょう,上野,うえの,0.7,銀座線
上野,うえの,上野広小路,うえのひろこうじ,0.5,銀座線
上野広小路,うえのひろこうじ,末広町,すえひろちょう,0.6,銀座線
末広町,すえひろちょう,神田,かんだ,1.1,銀座線
神田,かんだ,三越前,みつこしまえ,0.7,銀座線
三越前,みつこしまえ,日本橋,にほんばし,0.6,銀座線
日本橋,にほんばし,京橋,きょうばし,0.7,銀座線
京橋,きょうばし,銀座,ぎんざ,0.7,銀座線
銀座,ぎんざ,新橋,しんばし,0.9,銀座線
新橋,しんばし,虎ノ門,とらのもん,0.8,銀座線
虎ノ門,とらのもん,溜池山王,ためいけさんのう,0.6,銀座線
溜池山王,ためいけさんのう,赤坂見附,あかさかみつけ,0.9,銀座線
赤坂見附,あかさかみつけ,青山一丁目,あおやまいっちょうめ,1.3,銀座線
青山一丁目,あおやまいっちょうめ,外苑前,がいえんまえ,0.7,銀座線
外苑前,がいえんまえ,表参道,おもてさんどう,0.7,銀座線
表参道,おもてさんどう,渋谷,しぶや,1.3,銀座線
池袋,いけぶくろ,新大塚,しんおおつか,1.8,丸ノ内線
新大塚,しんおおつか,茗荷谷,みょうがだに,1.2,丸ノ内線
茗荷谷,みょうがだに,後楽園,こうらくえん,1.8,丸ノ内線
後楽園,こうらくえん,本郷三丁目,ほんごうさんちょうめ,0.8,丸ノ内線
本郷三丁目,ほんごうさんちょうめ,御茶ノ水,おちゃのみず,0.8,丸ノ内線
御茶ノ水,おちゃのみず,淡路町,あわじちょう,0.8,丸ノ内線
淡路町,あわじちょう,大手町,おおてまち,0.9,丸ノ内線
大手町,おおてまち,東京,とうきょう,0.6,丸ノ内線
東京,とうきょう,銀座,ぎんざ,1.1,丸ノ内線
銀座,ぎんざ,霞ケ関,かすみがせき,1.0,丸ノ内線
霞ケ関,かすみがせき,国会議事堂前,こっかいぎじどうまえ,0.7,丸ノ内線
国会議事堂前,こっかいぎじどうまえ,赤坂見附,あかさかみつけ,0.9,丸ノ内線
赤坂見附,あかさかみつけ,四ツ谷,よつや,1.3,丸ノ内線
四ツ谷,よつや,四谷三丁目,よつやさんちょうめ,1.0,丸ノ内線
四谷三丁目,よつやさんちょうめ,新宿御苑前,しんじゅくぎょえんまえ,0.9,丸ノ内線
新宿御苑前,しんじゅくぎょえんまえ,新宿三丁目,しんじゅくさんちょうめ,0.7,丸ノ内線
新宿三丁目,しんじゅくさんちょうめ,新宿,しんじゅく,0.3,丸ノ内線
新宿,しんじゅく,西新宿,にししんじゅく,0.8,丸ノ内線
西新宿,にししんじゅく,中野坂上,なかのさかうえ,1.1,丸ノ内線
中野坂上,なかのさかうえ,新中野,しんなかの,1.1,丸ノ内線
新中野,しんなかの,東高円寺,ひがしこうえんじ,1.0,丸ノ内線
東高円寺,ひがしこうえんじ,新高円寺,しんこうえんじ,0.9,丸ノ内線
新高円寺,しんこうえんじ,南阿佐ケ谷,みなみあさがや,1.2,丸ノ内線
南阿佐ケ谷,みなみあさがや,荻窪,おぎくぼ,1.5,丸ノ内線
中野坂上,なかのさかうえ,中野新橋,なかのしんばし,1.3,丸ノ内線(分岐)
中野新橋,なかのしんばし,中野富士見町,なかのふじみちょう,0.6,丸ノ内線(分岐)
中野富士見町,なかのふじみちょう,方南町,ほうなんちょう,1.3,丸ノ内線(分岐)
北千住,きたせんじゅ,南千住,みなみせんじゅ,2.1,日比谷線
南千住,みなみせんじゅ,三ノ輪,みのわ,0.8,日比谷線
三ノ輪,みのわ,入谷,いりや,1.2,日比谷線
入谷,いりや,上野,うえの,1.2,日比谷線
上野,うえの,仲御徒町,なかおかちまち,0.5,日比谷線
仲御徒町,なかおかちまち,秋葉原,あきはばら,1.0,日比谷線
秋葉原,あきはばら,小伝馬町,こでんまちょう,0.9,日比谷線
小伝馬町,こでんまちょう,人形町,にんぎょうちょう,0.6,日比谷線
人形町,にんぎょうちょう,茅場町,かやばちょう,0.9,日比谷線
茅場町,かやばちょう,八丁堀,はっちょうぼり,0.5,日比谷線
八丁堀,はっちょうぼり,築地,つきじ,1.0,日比谷線
築地,つきじ,東銀座,ひがしぎんざ,0.6,日比谷線
東銀座,ひがしぎんざ,銀座,ぎんざ,0.4,日比谷線
銀座,ぎんざ,日比谷,ひびや,0.4,日比谷線
日比谷,ひびや,霞ケ関,かすみがせき,1.2,日比谷線
霞ケ関,かすみがせき,虎ノ門ヒルズ,とらのもんひるず,0.8,日比谷線
虎ノ門ヒルズ,とらのもんひるず,神谷町,かみやちょう,0.5,日比谷線
神谷町,かみやちょう,六本木,ろっぽんぎ,1.5,日比谷線
六本木,ろっぽんぎ,広尾,ひろお,1.7,日比谷線
広尾,ひろお,恵比寿,えびす,1.5,日比谷線
恵比寿,えびす,中目黒,なかめぐろ,1.0,日比谷線
中野,なかの,落合,おちあい,2.0,東西線
落合,おちあい,高田馬場,たかだのばば,1.9,東西線
高田馬場,たかだのばば,早稲田,わせだ,1.7,東西線
早稲田,わせだ,神楽坂,かぐらざか,1.2,東西線
神楽坂,かぐらざか,飯田橋,いいだばし,1.2,東西線
飯田橋,いいだばし,九段下,くだんした,0.7,東西線
九段下,くだんした,竹橋,たけばし,1.0,東西線
竹橋,たけばし,大手町,おおてまち,1.0,東西線
大手町,おおてまち,日本橋,にほんばし,0.8,東西線
日本橋,にほんばし,茅場町,かやばちょう,0.5,東西線
茅場町,かやばちょう,門前仲町,もんぜんなかちょう,1.8,東西線
門前仲町,もんぜんなかちょう,木場,きば,1.1,東西線
木場,きば,東陽町,とうようちょう,0.9,東西線
東陽町,とうようちょう,南砂町,みなみすなまち,1.2,東西線
南砂町,みなみすなまち,西葛西,にしかさい,2.7,東西線
西葛西,にしかさい,葛西,かさい,1.2,東西線
葛西,かさい,浦安,うらやす,1.9,東西線
浦安,うらやす,南行徳,みなみぎょうとく,1.2,東西線
南行徳,みなみぎょうとく,行徳,ぎょうとく,1.5,東西線
行徳,ぎょうとく,妙典,みょうでん,1.3,東西線
妙典,みょうでん,原木中山,ばらきなかやま,2.1,東西線
原木中山,ばらきなかやま,西船橋,にしふなばし,1.9,東西線
